survey,item,variable,values,question_text,response_categories,item_category,female_var,female_vals
afrob7,human_cause2,q74,c(2:1),"People have different ideas about what causes climate change. What about you, which of the following do you think is the main cause of climate change?","1 Human activity, like burning fuel and other activities that pollute the atmosphere 2 Natural processes",cause,q101,c(1:2)
afrob7,efficacy4,q76,c(0:3),Do you think that climate change needs to be stopped? [If yes] How much do you think that ordinary [ENTER NATIONALITY] can do to stop climate change?,"0 no, climate change doesn't need to be stopped 1 yes, ordinary people can do nothing at all 2 yes, ordinary people can do a little bit 3 ordinary people can do a lot",other,q101,c(1:2)
amb_antigua2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_argentina2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_argentina2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_argentina2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_bahamas2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_belize2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_bolivia2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_bolivia2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_bolivia2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_brazil2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_brazil2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_brazil2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_canada2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_canada2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_chile2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_chile2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_chile2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_colombia2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_colombia2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
amb_combo,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,concern,q1,c(1:2)
