survey,item,variable,values,question_text,response_categories,item_category,female_var,female_vals
amb_combo,worry_terrorism4,wt1,c(4:1),How worried are you that there will be a terrorist attack?,1 Very worried 2 Somewhat worried 3 Little worried 4 Not at all worried,terrorism,,
amb_combo,worry_victim_terrorism4,wt2,c(4:1),How worried are you that you or a family member will be a victim of a terrorist attack?,1 Very worried 2 Somewhat worried 3 Little worried 4 Not at all worried,terrorism,,
arabb5,problem_air_pollution4,q108_2,c(4:1),Air quality: How serious a problem do you think the following issues are?,1 a very serious problem 2 a somewhat serious problem 3 not a very serious problem 4 not at all a serious problem,environment,,
arabb5,problem_water_pollution4,q108_3,c(4:1),Water pollution: How serious a problem do you think the following issues are?,1 a very serious problem 2 a somewhat serious problem 3 not a very serious problem 4 not at all a serious problem,environment,,
arabb5,problem_trash4,q108_4,c(4:1),Trash: How serious a problem do you think the following issues are?,1 a very serious problem 2 a somewhat serious problem 3 not a very serious problem 4 not at all a serious problem,environment,,
cceb2003_6,concern_unemployment4,q21_1,c(4:1),Unemployment: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,finances,d14,c(1:2)
cceb2003_6,concern_war4,q21_10,c(4:1),War: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,war,d14,c(1:2)
cceb2003_6,concern_immigration4,q21_11,c(4:1),Illegal immigration: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,immigration,d14,c(1:2)
cceb2003_6,concern_white_collar4,q21_12,c(4:1),Financial crime and money laundering: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,d14,c(1:2)
cceb2003_6,concern_inequality4,q21_13,c(4:1),Threats to the welfare state and rising inequalities: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,politics,d14,c(1:2)
cceb2003_6,concern_human_trafficking4,q21_14,c(4:1),Human trafficking: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,d14,c(1:2)
cceb2003_6,concern_customs_fraud4,q21_2,c(4:1),Customs fraud: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,d14,c(1:2)
cceb2003_6,concern_terrorism4,q21_3,c(4:1),Terrorism: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,terrorism,d14,c(1:2)
cceb2003_6,concern_consumer_fraud4,q21_4,c(4:1),Cheating the consumer: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,d14,c(1:2)
cceb2003_6,concern_drugs4,q21_5,c(4:1),Drug trafficking and usage: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,d14,c(1:2)
cceb2003_6,concern_org_crime4,q21_6,c(4:1),Organised crime: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,d14,c(1:2)
cceb2003_6,concern_rights4,q21_7,c(4:1),Authorities abusing citizens’ rights: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,politics,d14,c(1:2)
cceb2003_6,concern_crime4,q21_8,c(4:1),Petty crime and urban violence: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,politics,d14,c(1:2)
cceb2003_6,concern_corruption4,q21_9,c(4:1),Corruption: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,politics,d14,c(1:2)
eb39,problem_immigration2,v164,c(2:1),"Do you think immigrants and/or political asylum seekers are a big problem for (OUR COUNTRY), or are they not a big problem?",1 big problem 2 not a big problem,immigration,v686,c(1:2)
eb411,problem_immigration2,v211,c(2:1),"Do you think immigrants and/or political asylum seekers are a big problem for (OUR COUNTRY), or are they not a big problem?",1 big problem 2 not a big problem,immigration,v325,c(1:2)
eb592,concern_consumer_fraud4,v100,c(4:1),Cheating the consumer: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,v492,c(1:2)
eb592,concern_drugs4,v101,c(4:1),Drug trafficking and usage: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,v492,c(1:2)
eb592,concern_crime4,v102,c(4:1),Petty crime and urban violence: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,v492,c(1:2)
eb592,concern_org_crime4,v103,c(4:1),Organised crime: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,v492,c(1:2)
eb592,concern_rights4,v104,c(4:1),Authorities abusing citizens’ rights: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,politics,v492,c(1:2)
eb592,concern_corruption4,v105,c(4:1),Corruption: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,politics,v492,c(1:2)
eb592,concern_white_collar4,v106,c(4:1),Financial crime and money laundering: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,v492,c(1:2)
eb592,concern_war4,v107,c(4:1),War: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,war,v492,c(1:2)
eb592,concern_immigration4,v108,c(4:1),Illegal immigration: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,immigration,v492,c(1:2)
eb592,concern_inequality4a,v109,c(4:1),Greater social inequality: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,politics,v492,c(1:2)
eb592,concern_human_trafficking4,v110,c(4:1),Human trafficking: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,v492,c(1:2)
eb592,concern_unemployment4,v97,c(4:1),Unemployment: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,finances,v492,c(1:2)
eb592,concern_customs_fraud4a,v98,c(4:1),Customs fraud and smuggling: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,crime,v492,c(1:2)
eb592,concern_terrorism4,v99,c(4:1),Terrorism: How much concern do you feel about each of the following problems?,1 A lot of concern 2 Some concern 3 Little concern 4 No concern,terrorism,v492,c(1:2)
eb711,worry_hair_dye4,v556,c(1:7),"Hair dyes: To what extent are you worried or not about the potential hazard or risk to your health that may arise from the chemicals present in any of the
following product categories you may use?",1 not at all worried 23456 7 extremely worried,health,,
eb711,worry_clothing4,v557,c(1:7),"Fabric used in your clothing: To what extent are you worried or not about the potential hazard or risk to your health that may arise from the chemicals present in any of the
following product categories you may use?",1 not at all worried 23456 7 extremely worried,health,,
eb711,worry_sunscreen4,v558,c(1:7),"Sunscreens: To what extent are you worried or not about the potential hazard or risk to your health that may arise from the chemicals present in any of the
following product categories you may use?",1 not at all worried 23456 7 extremely worried,health,,
eb711,worry_cleaners4,v559,c(1:7),"Commonly used household cleaning products: To what extent are you worried or not about the potential hazard or risk to your health that may arise from the chemicals present in any of the
following product categories you may use?",1 not at all worried 23456 7 extremely worried,health,,
eb735,worry_bse4,v324,c(4:1),BSE or what is called mad cow disease: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_gmo4,v325,c(4:1),Genetically modified organisms found in food or drinks: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_food_allergy4,v326,c(4:1),Having an allergic reaction to food or drinks: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_food_additives4,v327,c(4:1),"Additives like colours, preservatives or flavourings used in food or drinks: Please tell me to what extent you are worried or not about the following issues.",1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_food_poisoning4,v328,c(4:1),Food poisoning from bacteria like salmonella in eggs or listeria in cheese: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_food_pesticides4,v329,c(4:1),"Pesticide residues in fruit, vegetables or cereals: Please tell me to what extent you are worried or not about the following issues.",1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_food_antibiotics4,v330,c(4:1),Residues like antibiotics or hormones in meat: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_food_pollutants4,v331,c(4:1),Pollutants like mercury in fish and dioxins in pork: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_food_plastics4,v332,c(4:1),Substances contained in plastics or other materials coming into contact with food: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_balanced_diet4,v333,c(4:1),Not having a healthy and balanced diet: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_diet_disease4,v334,c(4:1),"Getting a diet related disease such as diabetes, heart or liver problems: Please tell me to what extent you are worried or not about the following issues.",1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_gain_weight4,v335,c(4:1),Putting on weight: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_new_viruses4,v336,c(4:1),New viruses found in animals like avian or bird flu: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_animal_cloning4,v337,c(4:1),Cloning animals for food products: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,environment,,
eb735,worry_animal_welfare4,v338,c(4:1),The welfare of farmed animals: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,environment,,
eb735,worry_food_quality4,v339,c(4:1),The quality and freshness of food: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb735,worry_nano_particles4,v340,c(4:1),Nano particles found in food: Please tell me to what extent you are worried or not about the following issues.,1 very worried 2 fairly worried 3 not very worried 4 not at all worried,health,,
eb881,worry_plastics_health4,qd5_4,c(4:1),You are worried about the impact on your health of everyday products made of plastic,1 totally agree 2 tend to agree 3 tend to disagree 4 totally disagree,health,,
eb881,worry_plastics_env4,qd5_5,c(4:1),You are worried about the impact on the environment of everyday products made of plastic,1 totally agree 2 tend to agree 3 tend to disagree 4 totally disagree,environment,,
eb881,worry_chemicals_health4,qd5_6,c(4:1),You are worried about the impact on your health of chemicals present in everyday products,1 totally agree 2 tend to agree 3 tend to disagree 4 totally disagree,health,,
eb881,worry_chemicals_env4,qd5_7,c(4:1),You are worried about the impact on the environment of chemicals present in everyday products,1 totally agree 2 tend to agree 3 tend to disagree 4 totally disagree,environment,,
eb901,concern_voting_difficulties4,qb7_1,c(4:1),"Difficulties of use for some people, such as people with disabilities or older people: Imagine now that you were able to vote electronically, online or by post. How concerned or not would you be about each of the following?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_voting_cyberattack4,qb7_2,c(4:1),"The potential for fraud or cyberattack: Imagine now that you were able to vote electronically, online or by post. How concerned or not would you be about each of the following?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_voting_secrecy4,qb7_3,c(4:1),"The secrecy of the ballot: Imagine now that you were able to vote electronically, online or by post. How concerned or not would you be about each of the following?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_foreign_meddling4,qb7_4,c(4:1),"Voters being influenced by third parties: Imagine now that you were able to vote electronically, online or by post. How concerned or not would you be about each of the following?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_illegal_voting4,qb10_1,c(4:1),"People voting although they are not entitled to vote: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_manipulate_results4,qb10_2,c(4:1),"The final result of an election being manipulated: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_vote_buying4,qb10_3,c(4:1),"Votes being bought or sold: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
